"hotel_id","room_number","type","max_guests","amenities","price"
"5","103","Double Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Eco-Friendly Products","49058"
"5","104","Double Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Eco-Friendly Products","82085"
"6","101","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access","49897"
"6","102","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access","64265"
"6","103","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access","95304"
"6","104","Deluxe Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access","100723"
"7","101","Single Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Hairdryer, City View","46643"
"7","102","Single Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Hairdryer, City View","71579"
"7","103","Premium Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Hairdryer, City View","87906"
"7","104","Premium Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Hairdryer, City View","96471"
"8","101","Classic Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Microwave, Mountain View, Fireplace","50762"
"8","102","Deluxe Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Mountain View, Fireplace","90287"
"8","103","Single Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Microwave, Mountain View, Fireplace","98860"
"8","104","Single Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Microwave, Mountain View, Fireplace","104386"
"9","101","Deluxe Bedroom","6","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services","51059"
"9","102","Deluxe Bedroom","6","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services","56595"
"9","103","Deluxe Bedroom","6","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services","58266"
"9","104","Deluxe Bedroom","6","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services","71833"
"10","101","Single Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Spa Access, Massage Services","72535"
"10","102","Single Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Spa Access, Massage Services","75293"
"10","103","Single Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Spa Access, Massage Services","75803"
"10","104","Single Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Spa Access, Massage Services","94468"
"11","101","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Private Pool, Garden Access","40336"
"11","102","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Private Pool, Garden Access","46441"
"11","103","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Private Pool, Garden Access","49979"
"11","104","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Private Pool, Garden Access","66940"
"12","101","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access","35330"
"12","102","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access","87811"
"12","103","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access","88405"
"12","104","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access","89293"
"13","101","Single Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Fireplace","37044"
"13","102","Single Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Fireplace","51458"
"13","103","Single Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Fireplace","80408"
"13","104","Single Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Fireplace","95186"
"14","101","Deluxe Bedroom","6","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services","37106"
"14","102","Deluxe Bedroom","6","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services","104513"
"14","103","Deluxe Bedroom","6","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services","105638"
"14","104","Deluxe Bedroom","6","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services","108620"
"15","101","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Yoga Studio Access","73914"
"15","102","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Yoga Studio Access","96368"
"15","103","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Yoga Studio Access","101262"
"15","104","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Yoga Studio Access","102523"
"16","101","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access","62700"
"16","102","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access","73345"
"16","103","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access","73620"
"16","104","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access","81027"
"17","101","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Garden Access, Fireplace","44066"
"17","102","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Garden Access, Fireplace","78182"
"17","103","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Garden Access, Fireplace","80450"
"17","104","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Garden Access, Fireplace","92642"
"18","101","Deluxe Bedroom","6","Free WiFi, Coffee Maker, MiniFridge, Microwave, Skyline View, Fitness Center Access","35712"
"18","102","Deluxe Bedroom","6","Free WiFi, Coffee Maker, MiniFridge, Microwave, Skyline View, Fitness Center Access","73262"
"18","103","Deluxe Bedroom","6","Free WiFi, Coffee Maker, MiniFridge, Microwave, Skyline View, Fitness Center Access","80019"
"18","104","Deluxe Bedroom","6","Free WiFi, Coffee Maker, MiniFridge, Microwave, Skyline View, Fitness Center Access","95273"
"19","101","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access","35445"
"19","102","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access","39703"
"19","103","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access","70032"
"19","104","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access","90399"
"20","101","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, City View, Modern Design","56191"
"20","102","Double Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, City View, Modern Design","72110"
"20","103","Single Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Microwave, City View, Modern Design","98773"
"20","104","Single Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Microwave, City View, Modern Design","104738"
42,101,Guesthouse,10,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Oven, Sauna",133545
