hotel_id,name,rating,short_description,city,address,index_photo,cancellation_policy,phone,email
33,Ísafjörður Hostel,7.4,"Ísafjörður Hostel offers accommodation in Isafjördur. Free WiFi is available and free private parking is available on site.",Reykjavík,"Mánagata 1","/images/isafjordurhostel.jpg","Non-refundable if canceled within 24 hours",+354-555-0033,isafjordurhostel@icelandhotels.is
34,Hótel Valaskjálf,7.9,"Hótel Valaskjálf features a garden, terrace, a restaurant and bar in Egilsstadir.",Reykjavík,"Skógarlönd 6","/images/valaskjalf.jpg","Free cancellation if canceled 3 days prior",+354-555-0034,valaskjalf@icelandhotels.is
35,Tehúsið Hostel & Guesthouse,8.4,"Tehúsið Hostel & Guesthouse is located in Egilsstadir, 5 km from Lagarfljot River.",Reykjavík,"Kaupvangur 17","/images/tehusid.jpg","Non-refundable if canceled within 48 hours",+354-555-0035,tehusid@icelandhotels.is
36,Magma Hotel,9.4,"Located within 3 km of Kirkjugólf and Systrafoss twin waterfalls, Magma Hotel offers accommodation in Kirkjubæjarklaustur.",Reykjavík,"Tunga","/images/magma.jpg","Flexible cancellation up to 72 hours before arrival",+354-555-0036,magma@icelandhotels.is
37,Landbrot Guesthouse,8.9,"Landbrot Guesthouse is located in Kirkjubæjarklaustur, 8 km from Systrafoss twin waterfalls.",Reykjavík,"Tunga 1","/images/landbrot.jpg","Non-refundable if canceled within 7 days",+354-555-0037,landbrot@icelandhotels.is
38,Golden Circle Luxury Cottages Lake View,8.5,"Golden Circle Luxury Cottages Lake View is located in Laugarvatn, 3.5 km from Laugarvatn Fontana Geothermal Baths.",Reykjavík,"Ljosafossskoli","/images/goldencircle.jpg","Free cancellation if canceled 5 days prior",+354-555-0038,goldencircle@icelandhotels.is
39,Glaðheimar Cottages,7.1,"Overlooking River Blanda in Blonduos village, these cottages are located right by Iceland's Ring Road.",Reykjavík,"Glaðheimar 1","/images/gladheimar.jpg","Flexible cancellation until 24 hours before arrival",+354-555-0039,gladheimar@icelandhotels.is
40,The Reykjavik EDITION,8.9,"Set in Reykjavík, 600 metres from Solfar Sun Voyager, The Reykjavik EDITION offers accommodation with a fitness centre, private parking, a terrace and a restaurant.",Reykjavík,"Hverfisgata 30","/images/edition.jpg","Non-refundable if canceled within 48 hours",+354-555-0040,reykjavikedition@icelandhotels.is
41,Eleven Deplar Farm,9.0,"It doesn't get more off-the-grid than the Fljót Valley on the mountainous Troll Peninsula in northern Iceland.",Reykjavík,"Fljót","/images/deplar.jpg","Free cancellation if canceled 7 days prior",+354-555-0041,deplarfarm@icelandhotels.is
42,The Demoman,6.6,For when you need to show functionality with no frills.,Demotown,Testermanstreet 1,/images/ranga.jpg,Free cancellation any time,+354-555-0042,demoman@demo.com
